Word,ConservWord,Jockers Value,NRC,Bing,AFINN,Selected for Table
acid,1,-0.4,negative,NA,NA,
advantage,1,0.75,positive,positive,2,
aggression,1,-0.75,negative,negative,-2,
aggressions,1,-1,NA,NA,-2,
aggressive,1,-1,negative,negative,-2,
aggressively,1,-1,NA,NA,NA,
aggressiveness,1,-1,NA,negative,NA,
aggressor,1,-0.5,negative,negative,NA,
alive,1,0.5,positive,NA,1,1
altruistic,1,1,NA,positive,NA,1
altruistically,1,1,NA,positive,NA,
analyze,1,0.25,NA,NA,NA,1
ancestor,1,0.25,NA,NA,NA,
ancestors,1,0.25,NA,NA,NA,
ancient,1,0.25,negative,NA,NA,
arid,1,-0.25,negative,NA,NA,
arsenic,1,-1,negative,NA,NA,
ash,1,-0.4,negative,NA,NA,
asphyxiated,1,-1,NA,NA,NA,
atrophy,1,-0.5,negative,negative,NA,
attract,1,0.8,NA,NA,1,
attracted,1,0.8,NA,NA,1,
attracting,1,0.8,NA,NA,2,
attraction,1,1,positive,positive,2,
attractions,1,0.8,NA,NA,2,
avalanche,1,-0.5,negative,negative,NA,
avoid,1,-0.5,negative,NA,-1,
avoidance,1,-0.8,negative,NA,NA,
avoided,1,-0.5,NA,NA,-1,
avoids,1,-0.8,NA,NA,-1,
bacteria,1,-0.6,negative,NA,NA,
bacterium,1,-0.6,negative,NA,NA,
aphid,1,NA,negative,NA,NA,1
barrier,1,-0.5,negative,NA,-2,
bias,1,-0.75,negative,negative,-1,
bile,1,-0.5,negative,NA,NA,
biopsy,1,-0.6,negative,NA,NA,
bled,1,-1,NA,NA,NA,
bleed,1,-0.5,NA,negative,NA,
bleeding,1,-0.5,negative,negative,NA,
bleeds,1,-0.5,NA,negative,NA,
bloody,1,-0.75,negative,negative,-3,
bold,1,0.25,positive,NA,2,
boldly,1,0.25,NA,NA,2,
boldness,1,0.6,positive,NA,NA,
brains,1,0.6,positive,NA,NA,
brood,1,-0.6,NA,negative,NA,
brooding,1,-0.8,NA,NA,-2,
bruise,1,-0.5,negative,negative,NA,
